ID,Trigger (emotional state),Technique,Message shown to participant,Length,Context
P001,High arousal / anger,CBT: Thought record,"Is the worst case actually likely, or does it just feel that way right now?",Medium,General
P002,High arousal / anxiety,CBT: Perspective-taking,What would you tell a friend who was thinking this way right now?,Short,General
P003,Interpersonal conflict,CBT: Thought record,Has this kind of situation worked out before? What was different then?,Medium,General
P004,High arousal / anxiety,CBT: Decatastrophizing,"On a scale of 1 to 10, how much will this matter in a week?",Short,General
P005,General stress,CBT: Decatastrophizing,"What is one thing that is actually going well right now, even if it is small?",Medium,General
P006,Urge / craving,CBT: Cost-benefit check,"If you send this right now, what is the likely short-term gain versus cost?",Medium,Cyber-specific
P007,Interpersonal conflict,CBT: Cost-benefit check,"Before you respond, ask: will this help or make things worse?",Short,General
P008,Urge / craving,CBT: Implementation intention,"If you feel the urge to react, take 3 slow breaths before opening the app.",Medium,Cyber-Specific
P009,High arousal / anger,CBT: Implementation intention,"When this feeling comes up, name it out loud, then wait 60 seconds before doing anything.",Medium,General
P010,High arousal / anger,CBT: Behavioral redirect,Name one 2-minute action that moves you forward instead of responding right now.,Short,General
P011,Low mood / withdrawal,CBT: Behavioral redirect,One small thing you can do in the next 5 minutes that is not scrolling?,Short,Cyber-Specific
P012,General stress,CBT: Behavioral redirect,Step away for 2 minutes. Your reaction will be clearer when you come back.,Short,General
P013,High arousal / anger,ACT: Cognitive defusion,"Notice the thought is showing up. You do not have to act on it, it is just a thought.",Medium,General
P014,High arousal / anxiety,ACT: Cognitive defusion,Your brain is telling you a story right now. What would you call that story?,Short,General
P015,Interpersonal conflict,ACT: Cognitive defusion,That thought sounds loud right now. Can you notice it without becoming it?,Short,General
P016,High arousal / anxiety,ACT: Acceptance,You are feeling something strong. Can you let it be there for 60 seconds without fixing it or reacting?,Medium,General
P017,Low mood / withdrawal,ACT: Acceptance,"It is okay to feel this way. You do not have to fix it right now, just notice it.",Medium,General
P018,General stress,ACT: Acceptance,"This feeling is temporary. You do not have to make it go away, just let it move through.",Medium,General
P019,Interpersonal conflict,ACT: Values anchor,"Before you respond, what kind of person do you want to be in this moment?",Medium,General
P020,Urge / craving,ACT: Values anchor,"What matters most to you right now, this reaction, or something bigger?",Short,General
P021,High arousal / anger,ACT: Values anchor,"If someone you respect could see this moment, what would you want them to do?",Medium,General
P022,Urge / craving,ACT: Urge surfing,Rate the urge to react (1 to 10). Just noticing it often lowers it. What is your number now?,Medium,General
P023,High arousal / anger,ACT: Urge surfing,The urge to respond is peaking. Can you ride it for 90 seconds without acting on it?,Medium,General
P024,High arousal / anxiety,ACT: Present-moment grounding,Name 3 things you can physically feel right now. Then re-read the situation.,Medium,General
P025,General stress,ACT: Present-moment grounding,"Take one slow breath. Feel your feet on the floor. You are here, not in the worst-case scenario.",Medium,General
P026,Low mood / withdrawal,ACT: Present-moment grounding,"Look up from the screen. Name one thing you can see, one you can hear, one you can feel.",Medium,Cyber-Specific
C001,Control,Neutral acknowledgment,Thanks for checking in.,Short,General
C002,Control,Neutral acknowledgment,"Got it, thanks for the update.",Short,General
C003,Control,Neutral acknowledgment,"Response recorded, thanks.",Short,General
C004,Control,Neutral acknowledgment,"Thanks, that is logged.",Short,General
